TRBV,TRBJ,count
TRBV12-3,TRBJ2-2,9
TRBV12-4,TRBJ2-2,38
TRBV12-5,TRBJ2-2,2
TRBV13,TRBJ2-2,343
TRBV14,TRBJ2-2,11
TRBV15,TRBJ2-2,106
TRBV16,TRBJ2-2,105
TRBV18,TRBJ2-2,174
TRBV19,TRBJ2-2,48
TRBV2,TRBJ2-2,758
TRBV20-1,TRBJ2-2,336
TRBV21-1,TRBJ2-2,805
TRBV23-1,TRBJ2-2,0
TRBV24-1,TRBJ2-2,380
TRBV25-1,TRBJ2-2,0
TRBV27,TRBJ2-2,12534
TRBV28,TRBJ2-2,638
TRBV29-1,TRBJ2-2,172
TRBV3-1,TRBJ2-2,193
TRBV3-2,TRBJ2-2,1
TRBV30,TRBJ2-2,25
TRBV4-1,TRBJ2-2,21
TRBV4-2,TRBJ2-2,195
TRBV4-3,TRBJ2-2,188
TRBV5-1,TRBJ2-2,4060
TRBV5-3,TRBJ2-2,0
TRBV5-4,TRBJ2-2,18
TRBV5-5,TRBJ2-2,6
TRBV5-6,TRBJ2-2,13
TRBV5-7,TRBJ2-2,0
TRBV5-8,TRBJ2-2,0
TRBV6-1,TRBJ2-2,28
TRBV6-2,TRBJ2-2,457
TRBV6-3,TRBJ2-2,859
TRBV6-4,TRBJ2-2,8
TRBV6-5,TRBJ2-2,9608
TRBV6-6,TRBJ2-2,80
TRBV6-7,TRBJ2-2,0
TRBV6-9,TRBJ2-2,0
TRBV7-2,TRBJ2-2,1321
TRBV7-3,TRBJ2-2,191
TRBV7-4,TRBJ2-2,0
TRBV7-5,TRBJ2-2,4
TRBV7-6,TRBJ2-2,8
TRBV7-7,TRBJ2-2,15
TRBV7-8,TRBJ2-2,143
TRBV7-9,TRBJ2-2,229
TRBV9,TRBJ2-2,418
TRBV1,TRBJ2-3,0
TRBV10-1,TRBJ2-3,6
TRBV10-2,TRBJ2-3,30
TRBV10-3,TRBJ2-3,1468
TRBV11-1,TRBJ2-3,2
TRBV11-2,TRBJ2-3,521
TRBV11-3,TRBJ2-3,25
TRBV12-1,TRBJ2-3,15
TRBV12-2,TRBJ2-3,0
TRBV12-3,TRBJ2-3,139
TRBV12-4,TRBJ2-3,103
TRBV12-5,TRBJ2-3,13
TRBV13,TRBJ2-3,8862
TRBV14,TRBJ2-3,47
TRBV15,TRBJ2-3,1
TRBV16,TRBJ2-3,0
TRBV18,TRBJ2-3,21
TRBV19,TRBJ2-3,23
TRBV2,TRBJ2-3,360
TRBV20-1,TRBJ2-3,577
TRBV21-1,TRBJ2-3,23
TRBV23-1,TRBJ2-3,0
TRBV24-1,TRBJ2-3,918
TRBV25-1,TRBJ2-3,78
TRBV27,TRBJ2-3,739
TRBV28,TRBJ2-3,772
TRBV29-1,TRBJ2-3,228
TRBV3-1,TRBJ2-3,5101
TRBV3-2,TRBJ2-3,14
TRBV30,TRBJ2-3,17
TRBV4-1,TRBJ2-3,590
TRBV4-2,TRBJ2-3,60
TRBV4-3,TRBJ2-3,112
TRBV5-1,TRBJ2-3,147
TRBV5-3,TRBJ2-3,2
TRBV5-4,TRBJ2-3,1
TRBV5-5,TRBJ2-3,208
TRBV5-6,TRBJ2-3,2414
TRBV5-7,TRBJ2-3,0
TRBV5-8,TRBJ2-3,1
TRBV6-1,TRBJ2-3,76
TRBV6-2,TRBJ2-3,151
TRBV6-3,TRBJ2-3,178
TRBV6-4,TRBJ2-3,42
TRBV6-5,TRBJ2-3,488
TRBV6-6,TRBJ2-3,4224
TRBV6-7,TRBJ2-3,0
TRBV6-9,TRBJ2-3,0
TRBV7-2,TRBJ2-3,333
TRBV7-3,TRBJ2-3,319
TRBV7-4,TRBJ2-3,0
TRBV7-5,TRBJ2-3,0
TRBV7-6,TRBJ2-3,17
TRBV7-7,TRBJ2-3,29
TRBV7-8,TRBJ2-3,1843
TRBV7-9,TRBJ2-3,413
TRBV9,TRBJ2-3,12235
TRBV1,TRBJ2-4,0
TRBV10-1,TRBJ2-4,0
TRBV10-2,TRBJ2-4,105
TRBV10-3,TRBJ2-4,11
TRBV11-1,TRBJ2-4,0
TRBV11-2,TRBJ2-4,15
TRBV11-3,TRBJ2-4,0
TRBV12-1,TRBJ2-4,0
TRBV12-2,TRBJ2-4,5
TRBV12-3,TRBJ2-4,81
TRBV12-4,TRBJ2-4,0
TRBV12-5,TRBJ2-4,0
TRBV13,TRBJ2-4,165
TRBV14,TRBJ2-4,2
TRBV15,TRBJ2-4,0
TRBV16,TRBJ2-4,0
TRBV18,TRBJ2-4,0
TRBV19,TRBJ2-4,36
TRBV2,TRBJ2-4,90
TRBV20-1,TRBJ2-4,22
TRBV21-1,TRBJ2-4,255
TRBV23-1,TRBJ2-4,0
TRBV24-1,TRBJ2-4,179
TRBV25-1,TRBJ2-4,48
TRBV27,TRBJ2-4,378
TRBV28,TRBJ2-4,121
TRBV29-1,TRBJ2-4,4
TRBV3-1,TRBJ2-4,0
TRBV3-2,TRBJ2-4,0
TRBV30,TRBJ2-4,17
TRBV4-1,TRBJ2-4,101
TRBV4-2,TRBJ2-4,0
TRBV4-3,TRBJ2-4,2
TRBV5-1,TRBJ2-4,245
TRBV5-3,TRBJ2-4,0
TRBV5-4,TRBJ2-4,1
TRBV5-5,TRBJ2-4,118
TRBV5-6,TRBJ2-4,2
TRBV5-7,TRBJ2-4,0
TRBV5-8,TRBJ2-4,0
TRBV6-1,TRBJ2-4,159
TRBV6-2,TRBJ2-4,0
TRBV6-3,TRBJ2-4,15
