TRBV,TRBJ,count,Frequency,
TRBV7-7,TRBJ2-2,340,0.088315817,
TRBV7-8,TRBJ2-2,0,0,
TRBV7-9,TRBJ2-2,543,0.141045555,
TRBV9,TRBJ2-2,345,0.089614579,
TRBV10-1,TRBJ2-3,0,0,
TRBV10-2,TRBJ2-3,602,0.156370947,
TRBV10-3,TRBJ2-3,364,0.094549875,
TRBV11-1,TRBJ2-3,0,0,
TRBV11-2,TRBJ2-3,660,0.171436587,
TRBV11-3,TRBJ2-3,67,0.017403411,
TRBV12-2,TRBJ2-3,0,0,
TRBV12-3,TRBJ2-3,249,0.064678349,
TRBV12-4,TRBJ2-3,1304,0.338717135,
TRBV12-5,TRBJ2-3,0,0,
TRBV13,TRBJ2-3,484,0.125720164,
TRBV14,TRBJ2-3,7,0.001818267,
TRBV15,TRBJ2-3,61,0.015844897,
TRBV16,TRBJ2-3,0,0,
TRBV18,TRBJ2-3,9,0.002337772,
TRBV19,TRBJ2-3,62,0.016104649,
TRBV2,TRBJ2-3,322,0.083640274,
TRBV20-1,TRBJ2-3,8899,2.311536643,
TRBV21-1,TRBJ2-3,0,0,
TRBV23-1,TRBJ2-3,0,0,
TRBV24-1,TRBJ2-3,5,0.001298762,
TRBV25-1,TRBJ2-3,29,0.00753282,
TRBV27,TRBJ2-3,1438,0.373523957,
TRBV28,TRBJ2-3,24731,6.423936704,
TRBV29-1,TRBJ2-3,25984,6.749406466,
TRBV3-1,TRBJ2-3,1024,0.265986462,
TRBV3-2,TRBJ2-3,179,0.04649568,
TRBV30,TRBJ2-3,578,0.15013689,
TRBV4-1,TRBJ2-3,135,0.035066575,
TRBV4-2,TRBJ2-3,28,0.007273067,
TRBV4-3,TRBJ2-3,1353,0.351445003,
TRBV5-1,TRBJ2-3,10456,2.715971136,
TRBV5-3,TRBJ2-3,16,0.004156038,
TRBV5-4,TRBJ2-3,52,0.013507125,
TRBV5-5,TRBJ2-3,33,0.008571829,
TRBV5-6,TRBJ2-3,1,0.000259752,
TRBV5-8,TRBJ2-3,146,0.037923851,
TRBV6-1,TRBJ2-3,265,0.068834387,
TRBV6-2,TRBJ2-3,15,0.003896286,
TRBV6-3,TRBJ2-3,9,0.002337772,
TRBV6-4,TRBJ2-3,152,0.039482365,
TRBV6-5,TRBJ2-3,102,0.026494745,
TRBV6-6,TRBJ2-3,1,0.000259752,
TRBV6-7,TRBJ2-3,0,0,
TRBV6-9,TRBJ2-3,0,0,
TRBV7-2,TRBJ2-3,175,0.045456671,
TRBV7-3,TRBJ2-3,224,0.058184538,
TRBV7-6,TRBJ2-3,171,0.044417661,
TRBV7-7,TRBJ2-3,103,0.026754498,
TRBV7-8,TRBJ2-3,78,0.020260688,
TRBV7-9,TRBJ2-3,4422,1.148625131,
TRBV9,TRBJ2-3,417,0.108316752,
TRBV10-1,TRBJ2-4,0,0,
TRBV10-2,TRBJ2-4,0,0,
TRBV10-3,TRBJ2-4,88,0.022858212,
TRBV11-1,TRBJ2-4,0,0,
TRBV11-2,TRBJ2-4,222,0.057665034,
TRBV11-3,TRBJ2-4,40,0.010390096,
TRBV12-2,TRBJ2-4,0,0,
TRBV12-3,TRBJ2-4,92,0.023897221,
TRBV12-4,TRBJ2-4,0,0,
TRBV12-5,TRBJ2-4,0,0,
TRBV13,TRBJ2-4,1,0.000259752,
TRBV14,TRBJ2-4,0,0,
TRBV15,TRBJ2-4,0,0,
TRBV16,TRBJ2-4,0,0,
TRBV18,TRBJ2-4,0,0,
TRBV19,TRBJ2-4,81,0.021039945,
TRBV2,TRBJ2-4,1426,0.370406928,
TRBV20-1,TRBJ2-4,20,0.005195048,
TRBV21-1,TRBJ2-4,0,0,
TRBV23-1,TRBJ2-4,2,0.000519505,
TRBV24-1,TRBJ2-4,57,0.014805887,
TRBV25-1,TRBJ2-4,0,0,
TRBV27,TRBJ2-4,1,0.000259752,
TRBV28,TRBJ2-4,173,0.044937166,
TRBV29-1,TRBJ2-4,1,0.000259752,
TRBV3-1,TRBJ2-4,26,0.006753563,
TRBV3-2,TRBJ2-4,0,0,
TRBV30,TRBJ2-4,0,0,
TRBV4-1,TRBJ2-4,0,0,
TRBV4-2,TRBJ2-4,0,0,
TRBV4-3,TRBJ2-4,0,0,
TRBV5-1,TRBJ2-4,42,0.010909601,
TRBV5-3,TRBJ2-4,0,0,
TRBV5-4,TRBJ2-4,21,0.0054548,
TRBV5-5,TRBJ2-4,1,0.000259752,
TRBV5-6,TRBJ2-4,0,0,
TRBV5-8,TRBJ2-4,0,0,
TRBV6-1,TRBJ2-4,140,0.036365337,
TRBV6-2,TRBJ2-4,71,0.018442421,
TRBV6-3,TRBJ2-4,0,0,
TRBV6-4,TRBJ2-4,0,0,
TRBV6-5,TRBJ2-4,1,0.000259752,
TRBV6-6,TRBJ2-4,0,0,
TRBV6-7,TRBJ2-4,0,0,
TRBV6-9,TRBJ2-4,0,0,
TRBV7-2,TRBJ2-4,0,0,
TRBV7-3,TRBJ2-4,0,0,
TRBV7-6,TRBJ2-4,0,0,
TRBV7-7,TRBJ2-4,0,0,
TRBV7-8,TRBJ2-4,1,0.000259752,
TRBV7-9,TRBJ2-4,205,0.053249243,
TRBV9,TRBJ2-4,1,0.000259752,
TRBV10-1,TRBJ2-5,11,0.002857276,
TRBV10-2,TRBJ2-5,0,0,
TRBV10-3,TRBJ2-5,7,0.001818267,
TRBV11-1,TRBJ2-5,0,0,
TRBV11-2,TRBJ2-5,79,0.02052044,
TRBV11-3,TRBJ2-5,13,0.003376781,
TRBV12-2,TRBJ2-5,0,0,
TRBV12-3,TRBJ2-5,1774,0.460800765,
TRBV12-4,TRBJ2-5,1145,0.297416503,
TRBV12-5,TRBJ2-5,0,0,
TRBV13,TRBJ2-5,645,0.167540301,
TRBV14,TRBJ2-5,208,0.0540285,
TRBV15,TRBJ2-5,1676,0.435345029,
TRBV16,TRBJ2-5,0,0,
TRBV18,TRBJ2-5,1,0.000259752,
TRBV19,TRBJ2-5,7,0.001818267,
TRBV2,TRBJ2-5,3,0.000779257,
TRBV20-1,TRBJ2-5,808,0.209879942,
TRBV21-1,TRBJ2-5,0,0,
TRBV23-1,TRBJ2-5,0,0,
TRBV24-1,TRBJ2-5,105,0.027274002,
TRBV25-1,TRBJ2-5,1,0.000259752,
TRBV27,TRBJ2-5,880,0.228582116,
TRBV28,TRBJ2-5,1407,0.365471632,
TRBV29-1,TRBJ2-5,771,0.200269103,
TRBV3-1,TRBJ2-5,53,0.013766877,
TRBV3-2,TRBJ2-5,0,0,
TRBV30,TRBJ2-5,1,0.000259752,
TRBV4-1,TRBJ2-5,299,0.077665969,
TRBV4-2,TRBJ2-5,78,0.020260688,
TRBV4-3,TRBJ2-5,1472,0.382355539,
TRBV5-1,TRBJ2-5,12617,3.277296081,
TRBV5-3,TRBJ2-5,0,0,
TRBV5-4,TRBJ2-5,0,0,
TRBV5-5,TRBJ2-5,2,0.000519505,
TRBV5-6,TRBJ2-5,37,0.009610839,
TRBV5-8,TRBJ2-5,37,0.009610839,
TRBV6-1,TRBJ2-5,41,0.010649849,
TRBV6-2,TRBJ2-5,2,0.000519505,
TRBV6-3,TRBJ2-5,4,0.00103901,
TRBV6-4,TRBJ2-5,0,0,
TRBV6-5,TRBJ2-5,549,0.14260407,
TRBV6-6,TRBJ2-5,386,0.100264428,
TRBV6-7,TRBJ2-5,0,0,
TRBV6-9,TRBJ2-5,1,0.000259752,
TRBV7-2,TRBJ2-5,6,0.001558514,
TRBV7-3,TRBJ2-5,345,0.089614579,
TRBV7-6,TRBJ2-5,9,0.002337772,
TRBV7-7,TRBJ2-5,0,0,
TRBV7-8,TRBJ2-5,461,0.119745858,
TRBV7-9,TRBJ2-5,129,0.03350806,
TRBV9,TRBJ2-5,3475,0.902639604,
TRBV10-1,TRBJ2-6,0,0,
TRBV10-2,TRBJ2-6,0,0,
TRBV10-3,TRBJ2-6,0,0,
TRBV11-1,TRBJ2-6,0,0,
